,Questions,"Responsible (0-Operator, 1-AI Agent)"
,Ассалом алекум бекабод филиали калл сентер кере,1
,"Assalomu alekum man humo kartami nomerini almashtrmoqchiman, Shuni online qlsam boladimi bankga bormasdan sababi man hozir uzorodaman",0
,"Yoki Hali boladimi 4,5 Marta qayta qldm, Oxirida anu tasdiqlanmadi dgan narsa cqmadidee",0
,"Plastik karta boyicha, Yordam kk",0
,"assalomu alaykum kreditimni polniy pogasit qilmoqchi edim, lekin oldindan to'lovlarim ham bor. agar shunaqa qilsam kredit schyotidagi pullar qaytarib beriladimi? qanday qaytariladi?",0
,Virtual kartamni oʻchirmoqchi edim ertalabdan beri bulmayapti,0
,"Kredit rasmiylashtirmoqchi edim, Ariza topshiryapman qabul ham qilinmayapti rad ham etilmayapti",0
,Plastik kartamni blokdan ochib bering,0
,Iltimos tezroq qilib bering,0
,Omonat ham qo'yilgan aynan osha kartaga unga tasir qiladimi lekin omonat turibdi,0
,Call center raqami kerak edi,1
,kreditim boyicha savollarim bor edi,0
,"Men xozir kriditka arza topshirganman, Tastiqlangan yoki tastiqlanmaganligin qanday qilib kora olaman",0
,"Кредит олишим керак 3 миллион, Олиш имкони булмаябди",0
,Mikro qarz olsam boladimi,1
,Kartani nòmerini yozaymi,0
,Ariza javobi qachon keladi,0
,qanday olsam bo’ladi,0
,Kafilni tanlaganimdan keyin kafilni javobini qanday olsa boladi,0
,Qanday ocsam buldi,0
,Telfonorqali ocsam boldmi,0
,Banka tel qilb ocsa buldmi,0
,Kartaga mikroqarz mavjudmi silarda,1
,Uni kartaga oladimi yoki bankdan naqd pul shaklidami,0
,2 mln som uchun garovga telefon qoysa boladimi,0
,Mani kartam bloklanib qoldi o holmayapman,0
,Менинг ишхонамдан Иш хаки пластигим сизнинг банкингиздан муддати тугаганлиги учун пластинки онлайн буюртма килсам буладими,0
,Кашкадаре вил Карши SQB дан олганмиз. Биз Шахрисабз шахридамиз. Шахрисабда хам филиалларингиз бор. Пластинки шу филиалдан олсак булмайдими,0
,Мастер картам иловадан очиб кетиб колди шуни кайтара олмаяпман,0
,Yana balansimniyam ko'ra olamanmi,0
,Kartamni masofaviy ulamoqchidim,0
,assalom alekum 30milon kredid osam boladimi,1
,Assalomu aleykum bank kartasiga sms xabarnomasini ulamoqchi edim bankamat orqali lekin ulab bulmadi,0
,Nomerni qanday ozgartiramiz,1
,Karta nomer kiriting degan joyiga kartani qaysi nomeri yoziladi,0
,kafilar qoylid qanca voqtda beradi pulni aka,0
,Nega toʻplangan ceshbekni olib bomayabdi,0
,Assalomu aleykum meni kartamga ulangan narsalarni qanday òchiraman,0
,Шу картами кодини кандай билсам булади,0
,Salom men kridet rasmiylashtirmoqi edim kafil soʻradi kafil raqamini kiritsam oldin birga qarz olish bulimidan oʻting diydi kafilni qayirida u oʻtish JOYDA degan u joyini ilovadan topmadim,0
,Mikroqarz olish uchun kafil boʻlishi zarurmi,1
,Shu bank kartasiga har oyda oylik ish xaqim tushadiku bu yetmaydimi,0
,Ассалому алекум мен нархозда 2-курсида укийман абетгача бушман шу банкга иш урганишга боришим учун нима килишим керак,0
,Манты пластик картам блокка тушди. Уни кандай очаман,0
,Aka meni soliqda qaytarilgan summam bor edi. Oʻwani qanday olsam boʻladi,0
,Soliqda jarayon yakunlangan deyapti. Pul yechib olingan bank hisobiga tushgan bolsa. Oʻzimning bank kartamga tushirmoqchi edim,0
,"Уччала кредитимми муддатидан олдин, йопиш учун, умумиц канча маблаг кере?",0
,Assalomu alaykum sms xabarnomani eski raqamimdan ochorib yangisiga yoqib bering,0
,Мен10000000пул олмочиман илова оркали олса буладими,0
,Humo kartam pin kodga tushp qoldi,1
,SHU humo kartam paroli notogri terganm uchun pin kodga tushp QOLDI ILTIMOS pin koddan chqarp BERINg kartamni,0
,Kartam blokdan chiqmayapti. Nima qlish kerak,0
,assalomu alekom kartam blok bop qoldi. blokdan chqarsh kere,0
,Ариза топширдим ўтмаяпти. Қандай олсак бўлади,0
,Картага уланган телфон рак'амни у'згартирмохчиман,0
,Salom meni kartam blok boʻlibdi,0
,Assalomu alaykum kreditimni oldindan yopishim mumkinmi mumkin bòlsa minimal qancha tòlasam bòladi ilovada tòlab bòlmayapti lekin,0
,Kartam bloklangan kirolmayapman. Chorasini korib bering,0
,Sbq kartasini olgandm. Uni telefonga ulolmayappan avtomatik kórinmayapti. Ichiida puli bor avtomatk chiqmagani uchun kod ham qóyomadik yprdam beroliszmi,0
,Agrobank bankamatlarida viza classsic kartasidan pul yechish foizi qancha,0
,Kridet olmoqchiman. Sugʻurta polisi orqali olsa bôladimi.,1
,Filialga borsak pasportni óziga olsa bôladimi sugʻurta polisi orqali. Garovlarsiz kafillarsiz,0
,Mikroqarz olsam boladimi onlayn,1
,Vuza classic kartasidan bankamatta pul yeshish % i qancha,1
,Men kredit olmoqchi edim. Shunga yordam bervorasizmi,0
,meni kartam blokka tushib qoldi parol xato terganim uchun. Shunga yangi parol qo’yib blokdan chiqarib bera olasizmi,0
,Yangi parol qoyib bera olasizmi. Parolni esimdan chiqaribman,0
,Assalomu alaykum. Ipotekaga uy olmoqchiman. Men uchun ipoteka kridetini qaysi turi to'g'ri kelishi mumkin ?,1
,Mani kartam bloka tuwib qoldi nma sababdn shu,0
,ish xaqi kartamni ozgartirmoqchi edim,0
,uzcardga tushadigan oylikni humoga ozgartirsa boladimi,0
,xa kartani qayta chqarish qancha,0
,Men telefon raqamimni ozgartira olmayapan. Eski raqamim kuyib qoldi,0
,"Воалейкумассалом, виза картамдан узкартга пул ечолмаяпман",0
,Meni plastik kartam bloklanib qolgan shuni blokdan chiqarib bolmayapti,0
,Манга 27.02.2025 соат16.00 тушим чиким когози керак. Канака ечим килсак булади,0
,Aka karta ochilmapti. Blokdan,0
,Parolim ozgartirsam boladim. Rskisin esimda yo,0
,Yangi visa karta olgandim. Joyda ilovaga ulanmayapti,0
,Men karta olgan edim SQB BANK dan universitet tomonidan taqdim etilgan edi. Uni aktivlashtira olmayabman,0
,Iltimos menga plastikkartamni aktivlashtirishga yordam bera olasizmi,0
,"Assalomu alaykum, shanba kuni tushlikgacha bo'lsa ham ishlaysizlarmi?",0
,mening arizami qachon koʻrib chiqadi. hali ham javob kelmadi,0
,Kartam bloklanib qoldi. Pul tushdi lekin quluglangan,0
,Карта тошкендан олинган битта маьлумот учун Тошкентга боришим керакми????,0
,Азизбек ака жойда иловасида картамдаги маблаг курсатмайопти. Смс хабарнома учган деган хабар чикиб турибди,0
,Kartani qöshishim kerakmi,0
,Men 933927555 raqamidan ariza yubordim kredet uchun kafil raqamini kiritdim lekin kafil buladigan odam qayerdan tasdiqlashi kerak,0
,Karam bloklanib qoldi. Pul yechib boʻlmayapti,0
,Nima sababdan keriditni uz vaqtida kismaysizlar,0
,Nima sababdan onlayn keridit elovadan bermay quydi,0
,Кликимни пароли эсимдан чикди. Ёрдам беринг,0
,Мен СҚБ мобил иловасини урнатаётгандим Махфий суз ёзинг деяпти нима ёзишим кк. хар канака сузни кабул килмаяпти,0
,Man bank kartamni bowqa raqamga urnatmoqchiman,0
,Жойда иловасига беркитилган тел номерини кандай алмаштириш мумкин,0
,Ofislar nechidan nechigq ishlaydi,0
,Bank kartam blokiga tuwdi wuni ochib berolarszmi,0
,Номимда бошка банкда кридит бор менга кридит бериладими,0
,Картани ёптирсам бўладими,1
,Депозит қўйиш шартми?,0
,Plastik kartamni bowqa raqamga ulamoqchiman,0
,Ishlamaotgan nomerga bir necha marta pul tushirilibdi qaytarsa bo'ladimi?,0
,yandeks muommosi zakazz bergandk srazi atkaz kvordik hato ketbdi pulni yechb oldi. qaytish tushishi uchun bank qollab kuvvatlash markaziga murojat qling deyishdi,0
,Mani kartam sqb sms xabarnomam oʻchib qolgan. Oʻshani yoqish kere,0
,kredit topilmadi degan xatolik chiqyapti. Qanday to'layman,0
,Plastik kartamda bankomatdan sms habarnomani yoqib boʻlmayapti,0
,Пластигимни тел оркали блоклатгандим. Соат 13:30 ларга сизларга мурожат этдим.лекин хали хам очилган ёк.,0
,Man mikro kredit ololamanmi. Onlayn osa boʻladimi. Shanba ishlamidiku yo ishlaydimi bironta filyal,0
,Shuni qanday olsam boʻladi,0
,Kreditim yopudim yana kredit ololimami,0
,Картам ески номеримга уланиб колб кеткан янги номерга кандай уласа булади,0
,Салом манга SQB банк рақамида қўнғироқ қилишябди лекин ман кериди ни тўлаб бўлганма,0
,"Sizlardan Mastercard pilastik karta olgandim, xalqaro toʻlovlarni qabul qila oladimi? Shuni bilmoqchi edim.",0
,"Nmaga kreditga tolov yechib olinyabdida,Qarzdorlik sondirilmasdan,Penya hisoblatib yana pul yechyabsizlar,Bu qarzdorlik lari undirishga masul shaxs yoqmi sizlarda",0
,"Кредитка ариза колдиргандим,банк филиалига ташриф буйуринг 24 соат ичида деп смс келди,ман гаров егазига кредит олмокчи едим",0
,"Ish xaqqi karta olmoqchi edim,5614 li va viza,onlayin bersam buladimi",0
,"Abdushukurova Shahnoza Shavkat qiziman joyda ilovasidagi Visa kartamiz ochib ketdi Qayta ulay olmayapman,Qayta ulawga yordam bersangiz",0
,"Men kiriditga ariza bera olmayabman,Qanday qilib ariza berish kerak",0
,Приложение ни заполнять кивомманде шутта секретное слово тулдиромадим,0
,Kartam blok holatga tushib qolgan ochib berishingizni soreman,0
,"Aka menda karta Humo karta shu kartamga ulangan telefon raqamni boshqa telefon raqamga oʻzgartirmoqchiman,Sms kelsa pul yechmidimi",0
,Секретное слово га хич тулдиромиямман,0
,Assalomu alaykum! Sqbning Yashnabod filiali ishlayaptimi?,1
,"Kartam blokka tushb qoldi,Pinkodni notug’ri terganm uchun",0
,"Assalomu aleykum kartam blok holatida iltimos blokdan chiqarib berishingizni soʻrayan,xozir menda 1 ta bankning 2 ta bir xil kartasi bor ikkalasi ham UZCARD ikkalasini ham ishlata olamanmi???",0
,"Kartamni esemesga,Ulanmayapdi,Ulab bero oliyszmi kartamni nomerimga",0
,Men plastik karta buyurtma qilmoqchiman yetkazib bera olishadimi?,1
,Menga katta raqamga ulangan tel nomerimni oʻzgartirib bering,1
,Menga ish joyim tomonidan uzcard kartasi va master card berilgan edi ilova orqali faollashtirishga harakat qildi bo‘lmadi terminal va bankomatlarda ham amaliyot bajarib bo‘lmadi,0
,Assalomu aleykum karta kodini almashtirsa boladimi,0
,"oyiga 2mln dan to'layapman, shuni oyiga 1 mln dan to'laydigan qilishning iloji bormi deb so'ramoqchiedimda, hamkasblarimdan so'rasam bankdan so'rab ko'ring aytadi deydi",0
,"Kreditga zayavka qoldirudim javobini qanday bilsam boladi,onlinegayam wunaqami",0
,"Assalomu aleykum, kartamga ulangan raqamni bankka bormasdan ham ozgartirsam boladimi,Bank shanba kuni ishlamas ekan, ham 17:00 ga yopilsa o’qish ishdan ulgirib boromimande, shuni onlayn qilsa bo’ladimi",0
,"Assalom aleykum Menga mikroqarz kerak, programmadan olomayapman",0
,"Man boshqa bankdan kriditim bor yana osam buladimi,Nomerini berin apertori",1
,"Кридет графики керак,Телефон ракамга уланмаганман,Кридет тулашим керак,График ташаб беринг",0
,Plastik kartam bloqlanib qogan,0
,"Men uzkartimni sms xizmatini yoqtirmoqchi edim,Pul tushsa yoki chiqsa sms keladigan qilish uchun?Menga yordam bera olasizmi?",0
,Кредит алажак едим,0
,"Master ishlamayabdi,Ishxona tomonidan berilgan,Bloklangan diyapdi,Yangi berilgan edi",0
,"Mening kartab bloklanib qoldi,Parolini ham untib qoydim,Kartamni blokdan chiqarishning qanday yoli mavjud",0
,Kredit uchun ariza tashlaganman shuni aniq javobini qanday bilsam bo’ladi,0
,"meni kartam. +998907007650 boglanip turgandi,Ending shu kartamdi +998907027650 rakamga koshishm kerak",0
,Assalomu alaykum. Mening nomimda bir nechta kreditlar boshqa banklarda mavjud. Agar kreditlar vaqtida tolanmasa yoki kechikib tolansa men sizlardan ochtirmoqchi bolgan jozibali 22% online omonatimdagi puldan kredit qarzimni yechib olishi mumkinmi? Meni omonatim daxlsizligi saqlanadimi sizlarda?,0
,"Plastik kartamga sms habarnomani yoqmoqchi edim,Hozir call centerga bog'langan edim,Siz bilan bog'lanishni aytdi,Sqb ilovasida shu bankdan ochilgan hamma kartalarim ko'rinib turar ekan. Endi bu ham ko'rinadimi yoki kartani qaytadan qo'shish kerakmi",0
,Манга ботда чикган ёзувви скрин клиб ботдан жунатин дидила Жамшид оператор,0
,"Смс хабарнома улангандан кегин канча вакт ичида скб мобайл иловасига улана оламан?,Канча вакт ичида кликга уласам булади?",0
,Doʻkonimning oldiga bankomat qanday ornatirsam boladi,0
,Onlayn mikroqarzga ariza bergandim mana shu javob keldi,0
,Мен куйилган омонатимни мудатидан олдин йечмокчи едим,0
,"Кредит олмоқчи эдим,Менга кредит бериладими йўқми шуни билмоқчи эдим,Иккиламчи кредит олмоқчи эдим ўзини ўзи банд қилиб 20.000.000 сўмлик",0
,"O’zini o’zin band qilganlar uchun 15 mlnlik kredit haqida eshitgan edim , shu kredit bormi ?",1
,"Men kredit olmoqchi edim, 3 shaxs qildim lekin lekin k6rinmayopti",1
,"Ariza 24 soatdn bere,Javob bermibdi,Sabab",0
,"Kredit tolagan edim otmayabdi operator raqami kerak qanday boglansam boladi,Xisob raqamidan qanday pul yechsa boladi",0
,Скб хумо картамни смс хабарномасини тел ракамини озгартириб беринг илтимос,0
,"Bankingizdan plastik karta olgandim shu karta bloklanib qolgandi,Shu muammo bo'yicha murojaat etyapman",0
,"Карта менга тегишли эканлиги тасдикловчи хужжатни электрон вариантини менга юбора оласизми, солик ходими сураяпти, илтимос,Мен андижонликман, пластик Тошкентдан берилган, Андижондаги банк филиал дан хам олса боладими?",0
,"sqb ilovadam kreditga ariza topshirgandim uni holatini qattan korsam boladi,hozir 19 yoshdaman va rasmiy ish joyim yo’q bo’lsa ham kredit beriladimi",0
,"Guliston filialiga visa karta kelganmi yoqmi malumot berolasmi,Call markazni nomerini bering",0
,"Humo картамни кодини эслай олмаяпман,Олган жойимга бормасдан пин кодни алмаштиришни иложи борми,Олган жойимга бормасдан пин кодни алмаштиришни иложи борми",0
,Garovsiz kridit turi yoʻqm,1
,мени visa пластик картамни хамда uzcard пластик карталаримни смс хабарномасини улатмоқчи эдим илтимос улаб берсангиз,0
,Doʻkonimning oldiga bankomat qanday ornatirsam boladi,0
,"Online mikroqarzga ariza beryotgandim ilovadan kafil soraldi nomer kiritdim lekin javob bermiyabdi dib chiqyabdi,sms bormadi,tel ham bolmadi kafilga",0
,Assalomu alaykum uzcar plastik kartamga sms xabarnoma yoqilmagan deb paymega ulanmayabdi,0
,"Ассалому алейкум, кредитим ёпилдими тўлиқ?,Рахмат, мошина тақиқдан қачон олинади??",0
,"Мен иловадан микрокридик карзга ариза топширганман,Хали хам жавоб бермади",0
,"Sms xizmatini ulashim kerak edi,Yordam bera olasizlarmi",1
,Plastik kartamga ulangan raqamni almashtirmoqchiman,0
,"Кодини алмаштириб бера оласизми,Картам humo,Очиб беришни иложи борми",0
,Online omonat haqida soramoqchiydim Sqb pridlojeniyada omonat koʻrinmay woldi,0
,"Kredid olmoqchi edim,Bankdan kredid olsa boladimi",1
,Мен иккинчи шахс кафиллиги билан микрокаризга ариза бергандим хали жавоб юк,0
,Картани бонкамадга солсам,0
,Омонатларимдан пул йечмокчиман лекин омонатим куринмаяпти менга пул зарур эди,0
,Omonatimni kursatmayobti,0
,"Омонатим хакида малумотга кирсам курсатмади,Кредит туладим кк ой охири",0
,"Onlayn omontlarim Sqb mobilega kurinmayapti,Qachon ishlab qoladi?",0
,"SQB иловасида вкладим куринмаябди,Качон ечич имконяти булади?",0
,"Men omonattim joyida ilovasidan kórinmayabti,Iltimos shunga aniqlik kiritib bersangiz",0
,"мен SQB га куйилган омонатимни йечиб олмокчи едим мудатидан олдин,Лекин оманатим куринмаяпти,Качон ишга тушади бу",0
,Anchadan beri kartamni ishlatmay faqat klik orqali foydalanardim keyin bankamadga borib naxt pul qilmoqchi edim kodini notogri terdim 1. 2 martta blmasdan notogri teribman blok bop qoldi,0
,Kartamni bilokdan ciqarolmayapman,0
,Sqb Mobile da omonotlar ko'rinmayabdi. Qachon ishlab ketadi?,0
,Kartani bilokdan chiqarolmayapman,0
,menga kartam boyicha kirim chiqim tranzaksilar haqida hujjat kerak edi soralgan joyga taqdim qilish uchun,0
,"Men sqb ilovasi orqali omonat qo'ygan edim. Va hozir u mening omonatlarim bo'limida ko'rinmayapti,Bu noqulayliklar bartaraf etilgunga qadar omonatlarimni qanday boshqaraman. Va tahminan qancha vaqtda bu muammolar bartaraf etiladi?",0
,"SQB Mobile ilovasida mani qoygan omonatim korinme qoldi,Qachon togirlanadi,Foizini doim yechib yana qoysa boladimi ustiga?",0
,Ака мани пластигим,0
,"Visa kartaga, Pul otqaza olmayabman,Server ulanib bolmadi deyabdi,Shu qachon togirlanadi",0
,assalomu aleykum meni master kart kartam ilovada koʻrinmayapti,0
,Visa karta Sanoat Qurilish ilovasidan chiqmay qoldi,0
,Онами виза карталари иловада кўрнмаяпти,0
,"Viza korinmay qoldi,Nima qilish kerak",0
,"Men ilovada visa kartam bor edi o'chib ketibdi qaytib qo'sha olmayapman,Qachon to'g'irlanadi? Joyiga qaytadimi?",0
,Visa karta korsatmayapti joyda prilojeniada,0
,мени пластигим кулифланиб колди кандай очсам булади,0
,Банк филиалларидан очередь онлайн олса боладими,0
,"Kridit olishda kridit oluvchini oylik maoshi qancha bolishi kerak,Nomida boshqa kriditi bolsa xam beriladimi,Onlayin topshirsa xam boladimi",0
,"Puliz chiqishiga xatolik berdi,Бу нима дегани?,Утказган пулимни чекини ололмаяпман",0
,хуллас мен бугин мастер карта олгандим банкилардан кин жойдадан регистрация отиш кере екан отдим регистрациядан мастер карта ози чикиши кере екан ози чикди картам лекин чиккан картани карта раками бошкача мани банкдан оган картани раками блан мос мас,0
,"Avozli xabar yuborsam boladimi,Men kredit olmoqchi edim,Shu boyicha molumot kerak",1
,Assalom. Karta bloklandi. Qanday blokdan chiqarsa bo'ladi? Sqb ilovasidan qilib bulmayapdi,0
,Iltimos esms xabarnomani yoqib bering,0
,Surogi tugagan kartamga pul qolib ketgan ekan shuni olishni iloji bormo,0
,"2 yilik kredit olaa,Shunda 1 yilga 30 % boladimi,Qanaqa yoki obshiy 2 yilga 30% mi",0
,"Sms xizmatini ulash kerak Eski raqamga ulangan edi lekin u raqam óchib ketibdi, endi yangi raqamga ulash kerak",0
,Assalomu alaykum Men mikroqarz uchun ariza jonatgan edim javobu nima uchun chiqmayabdi,0
,Assalomu Alaykum. Ikkilamchi kreditga ko'p qavatli kvartira(dom) olmoqchi edim. Sizlarda ikkilamchi kredit bormi,0
,Silzr jovop bersilarmi sqb kartaga,0
,"Assalomu alaykum Huma karta sms xabarnomani o‘zgartirib bering,U uchun qanday bosqichlardan o‘tay nima qilish kerak",0
,"Assalomu alaykum Huma karta sms xabarnomani o‘zgartirib bering,U uchun qanday bosqichlardan o‘tay nima qilish kerak,Havola bilan kirib to‘ldirdim so‘ralgan narsalarni",0
,"Ilovadan pul oʻtkazdim kvitansiyasi yuklanmayapti,Ilovani oʻchiraymi",0
,Men virtual mastercard ochudim lekin -5$ korsatib turibdi,1
,"Assalomu alaykum, bankda kredit karta bormi?",0
,Men qanday qilib kridt olsam boʻladimi,1
,"Kafilni yozdim tastiqladi qanaqa kiradi u bo'limga,Qatan kiraman u bo'limga,Qanaqa boshqaraman",0
,"Nega ilovadan kiredit olib boʻlmayapdi,Oldigi tartibdagi kredit maxaulotlari yoq,Ariza bersam javob ham kelmaydi,Sulurta polisi ham yoq garov uchun",0
,"kredit olishga murojaat qoldirgandim,javobi taxminan qancha vaqtda chiqadi,online arizani ko’rib chiqish muddati qancha",0
,"кредит картага заказ каердан киламиз,онлайн кредит олишни иложи йукми илова оркали",0
,"Urunova ziyoda kridet dan qarzdorligi bor,Ushani tekshirib bering",0
,"Ваалайкум ассалом онамни картасини жойидага кушсам боладими,Телефони кнопкалида мен куша олмайманми",0
,"Aperator nomerini bering,Sanoat qurilish bankining aperator nomerini",1
,"Assalamu aleykum biz SQB mobil ilovasi orqali hozirda sinob rejimida bogan ipoteka kreditini olmoqchi edik akam bilan,Akam qarz oluvchi men kafim bolayotgan edim akam meni kafilligimni yozib ozining mobil ilovasidan meni tasqidlashimni soradi lekin menga hech qanday kafillikni tasdiqlash uchun xabar kelmadi,Nima qilsak bo'ladi ?",0
,Men kartamga ulangan raqamni oʻzgartirmoqchi edim qanday oʻzgartirish mumkin,1
,Assalomu alekum yaxshimi siz meni SMS xabarnomamni ulavoring +998947650035,0
,"Assalomu aleykum, Sqb virtual kartasi haqida malumot kerak edi. Limitlar haqida, oylik va kunlik limitlar",0
,"Assalom aleykum. Online rezyume jo‘natmoqchiman,Bo‘sh ish o‘rinlari haqida malumot bera olasizmi",1
,"Kiridit olmoqchi edim,Birinchi marta olishim 2milon omoqchiman",0
,"Мен хали карта олмадим лекин счёт очсам буладими,Канча вактда очилади",0
,"Men kartamga ulangan raqamni oʻzgartirmoqchi edim,Qanday oʻzgartira olaman",0
,Телефони кнопкалида мен куша олмайманми,0
,Ваалайкум ассалом онамни картасини жойидага кушсам боладими,0
,Sms xabar ulamoqchiman,0
,Sms xabarnoma yoqtirmoqchi edim,0
,Assalomu aleykom Men Talaba Edim Farģon shaxridagi Koreya Xalqaro Universetida òqiyman SQB Bank Xodimlari kelib Plastikka ariza olib ketishgan edi 1 oy avval Shu plastigimiz tayyor bòldimikin yoki yoqmi,0
,"SMS xabarnomani ochirmoqchiman,Mankamatdanam ochirib bolmaydimi",0
,"Kredit ariza yo'llagan edim,Qachon ko'rib chiqiladi",0
,"mikroqarz berilmayaptimi,onlayn kredit olmoqchi edim",0
,"Bank kartasini qanday rasmiylashtirsa bo‘ladi,Assalom alekum Bank kartasini qanday rasmiylashtirsa bo‘ladi",0
,Hisob raqamida pul bor ekan. Shuni qanday kartaga ótqizib olsam bôladi,0
,"Uz plastik kartamni uchirtirmoqchi edim,Online bloklashni iloji yuqmi",0
,"Onlayn kridit olmoqchi edim olib bo‘lmayBdi,Qanday olsam bo‘ladi",0
,"Фоизларни хохлаган вактгача виртуал картада саклаб турса буладими,Куйган пулни фоизини",0
,"Men kartamdi biloklamoqchiman xichkm pul yecholmaydigan qilib,Shunaqa qilsa boladimi,Bankamatdan pul yechsa boladimi",0
,bank kartam 912602110 nomerga biriktirilgan shuni 330972110 ga otkazish kerak,0
,"Men kartamdi biloklamoqchiman xichkm pul yecholmaydigan qilib,Shunaqa qilsa boladimi",0
,иловага киришни имкони болмайапты блоктасиз деяпты,0
,"телефон номер бормы,муражат клишга",1
,"Plastic kartaga ulangan tel raqamimni o'zgartirishim kerak,Joyda ilovasidan foydalanishim uchun",0
,Kartam yoqolib qolgandi online karta olsam boladimi,1
,Salom man YaTT asosida tadbirkorlik uchun kredit olmoqchiman shu haqida batafsil tushuntirib bersangiz iltimos,1
,Meni plastigimga qaysi telefon nomer ulanganligini bilib bering bu yangi karta oʻzim Click ilovaga karta qo'shmoqchi edim boshqa raqamga ulangan deyapti,0
,"Assalom aleykum vaaleykum assalom,Ilovadan kredit omoqchi edim",0
,"Hisobimdagi karta raqamlarni vaqtincha block qilishni iltimos qilaman,Hisob raqamimni ham,Mening nomimga hech narsa rasmiylashtirilmasin iltimos",0
,Men kredit olishga ariza bergandim shuni korip shiqilmayapti,0
,Kafil va garovlarsiz offline kredit bormi,1
,"Manga yordam kerak,Plastik kartam yoqoldi,Shu unlangan nomerni oʻzgartirish kerak",0
,Xabarlar bo'limi qayerda ilovani,0
,Vertual kartani yuklomoqshi edim sms ulanmagan diyapti nima qisam boladi,0
,"Plastigimni yoqotdim,Oshani boshqa nomerga ulab,Pulni yechishim kerak",0
,"Menga kridit bermayapdi,Ariza natijasi kridit bo'yicha ilovani qayerda topsam boladi,100.000.000 millionga ariza yuborgandim",0
,Пластик блок булиб колиб ди,0
,"Assalomu aleykum meni mastercardim bor edi shu blok xolatida ekan hozir ochib yuborsa boʻladimi,Pul oʻtkaza olmayapman",0
,Valekum salom sqb kartamga ulangan nomerim kuydi yangi nomerga ololmadim,0
,"Va men bugun yangi sim kata olgandim shu orqali bank ilovasiga kiraman desam "" ushbu qulma orqali kira olmaysiz"" degan qizil yozuv chiqdi nima uchun",0
,"Man virual masterkar ochdim -5usd korsatvotti,Pullimi",0
,Man telfon raqmni ozgartirmoqchman bakdagi,0
,"Plastikni yoqatb qoydm qayta tiklamoqchiman SQB yakshanba kuni ishlaydimi qaysi filliali toshkent,Qayta ochtirish pullikmi",0
,"Kredit olmoqchi edik kafil sorayabdi. Men kafil bolmoqchi edim raqamimni kirityabdi hechqanaqa tasdiqlash korinmayabdi,Nima qilsak boladi",0
,"Men Sarmoya kreditini olmoqchiman lekin ololmayapmann,Meaning kartalarim degan joyidan kartam chiqmayapdi lekin kartam bor milliyning kartasi",0
,Ассалому алейкум манда битта муаммо картам нималаргадур уланган канака очирсам болади,0
,Этмокчи боганим виза картамни нималарга улаган болсам хаммасидан чиказвормокчиман,0
,"Mikro qarz olmoqchi boludim,lekin javob kemayapti,yoki kreditga pul berilmayaptimi",0
,Pulni qanday qilib kreditga yechtirsak boʻladi?,0
,Mikroqarz ololmayab man,0
,"Ага, т.е по первому номеру в скб мобайл я смогу найти и оплатить?",0
,"Кредитга заявление бергандим,3 соатдан бери куриб чикилмокда,Манимча жавоба тез келиши керак эди",0
,Бу кейин прямой картамга отарилиб бериладими йо бориб олишим керакми,0
,"Картам блок болиб колди,Пин код эсимдан чикди",0
,Qisqa Nomer bering,1
,Kartani telefon raqamiga ulash uchun SQB ning yaqin atrofimdagi filialiga murojaat qilsam boʻladimi yoki oʻzingiz qilib bera olasizmi,0
,Ассалому алейкум картамни телефонга улаш керак,0
,Кредит ариза бергандим жовоб кемаяпди,0
,Микро карз качон ишлайди,0
,"Филиалда номери борми,Мен танлаган,Номер. Булса берворинг илтимос",0
,Sanoat qurulish bank kredetlari haqida ma'lumot olmoqchiman,1
,"Onlayn mikro kredit olmoqchiman,Yordam bering",0
,"YANGI KARTA FAOLLASHTIROLMATAPMAN,QÕLIMGA OLGANIM YÔQ JOYIDA ILOVASIDA CHIQQAN",0
,"Ilovadan plastik karta buyurtma qilmoqchi edim bolmayapdi,Xarxlari haqida malumot beraszmi",0
,ХУМО картамни телефонимга смс уланмаган экан.кеча йозишган эдим сиз бн хам.,0
,Assalomu alaykum. Operator bilan ovozli muloqot qilsam bo'ladimi? Menda tushunarsiz holatbo'ldi,1
,Ассалому алекум яхшимисз онлайн микрокарзга ариза бергандим 3 кундан ошди хали жавоб келмади?,0
,Картам блокда,0
,Kartamning istoriyasi nimagadir shiqmayabdi,0
,"Assalomu alaykum kredit yuzasidan savolim bor edi,Qachon test rejimi tugaydi va mikro qarz olsa buladi kafillarsiz",0
,"Кирдит буйича,Лиминт ажрати лекин берсайоти",0
,"Assalom alekum.ariza topshirgandim ilovada kurinmepti,Jarayondami yuqmi shuni bilmoqchi edim",0
,"15 daqiqa degandi shunga bilaychi degandim,15 daqiqa degandi shunga bilaychi degandim",0
,Bonusni qanday olsma boladi,0
,Taklish qilish bonusni qanday olaman,0
,"Мани картам кулф болиб колоди очтирдим,Муддати утган кредит им бор",0
,"Mani kartam yoʻqolib qolgan,Osha ulagan nomerni orgartirib,Pulni otkazmoqchiman",0
,"Bank kartam bloklanib qoldi,Sms xabarnoma ulanmagan",0
,Blokdan chiqarish uchun nima qilishim kk,0
,Ассаломалекум клик улатмокчи эдим,0
,Картамни телефонга улаш керак,0
,Qancha kredit DAN shu oy uchun qancha qarzdorman shuni bilmoqchi edim,0
,"Plastigimda pulim qolip ketgan,Qanday qilib oliw kerak",0
